"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"56294099999","2001-01-01","30.578528","103.947086","495.3","SHUANGLIU, CH","  48.1","24","  43.3","24","1018.9"," 8","958.4"," 4","  3.1","24","  1.1","24","  3.9","999.9","  53.6","*","  44.6","*"," 0.03","G","999.9","000000"
"56294099999","2001-01-02","30.578528","103.947086","495.3","SHUANGLIU, CH","  45.6","23","  41.3","23","1022.6"," 8","961.3"," 4","  2.1","23","  1.1","23","  3.9","999.9","  51.8","*","  41.0","*"," 0.00","I","999.9","100000"
"56294099999","2001-01-03","30.578528","103.947086","495.3","SHUANGLIU, CH","  47.9","23","  40.5","23","1023.8"," 8","963.0"," 4","  4.1","23","  1.0","23","  3.9","999.9","  54.1"," ","  42.6"," "," 0.03","G","999.9","110000"
"56294099999","2001-01-04","30.578528","103.947086","495.3","SHUANGLIU, CH","  46.9","24","  41.4","24","1023.1"," 8","962.3"," 4","  2.3","24","  1.9","24","  5.8","999.9","  51.8","*","  44.6","*"," 0.03","G","999.9","010000"
"56294099999","2001-01-05","30.578528","103.947086","495.3","SHUANGLIU, CH","  46.0","23","  42.3","23","1019.2"," 8","958.4"," 4","  1.7","23","  2.3","23","  5.8","999.9","  49.1"," ","  42.8","*"," 0.01","G","999.9","010000"
"56294099999","2001-01-06","30.578528","103.947086","495.3","SHUANGLIU, CH","  46.8","23","  42.7","23","1018.4"," 7","957.7"," 4","  3.4","23","  1.9","23","  5.8","999.9","  52.5"," ","  40.8"," "," 0.00","G","999.9","000000"
"56294099999","2001-01-07","30.578528","103.947086","495.3","SHUANGLIU, CH","  46.8","24","  42.2","24","1014.0"," 8","953.5"," 4","  2.5","24","  2.0","24","  3.9","999.9","  50.0","*","  44.6","*"," 0.00","I","999.9","000000"
"56294099999","2001-01-08","30.578528","103.947086","495.3","SHUANGLIU, CH","  44.4","24","  35.1","24","1024.9"," 8","962.4"," 4","  5.2","22","  4.8","24"," 13.6","999.9","  51.8","*","  38.5","*"," 0.03","G","999.9","010000"
"56294099999","2001-01-09","30.578528","103.947086","495.3","SHUANGLIU, CH","  41.3","24","  30.8","24","1026.6"," 8","965.5"," 4","  6.6","24","  1.7","24","  5.8","999.9","  50.2"," ","  30.2","*"," 0.00","I","999.9","000000"
"56294099999","2001-01-10","30.578528","103.947086","495.3","SHUANGLIU, CH","  42.4","24","  34.1","24","1021.2"," 8","959.9"," 4","  4.3","23","  2.0","24","  5.8","999.9","  48.2","*","  32.5"," "," 0.00","I","999.9","000000"
"56294099999","2001-01-11","30.578528","103.947086","495.3","SHUANGLIU, CH","  42.4","23","  35.2","23","1020.0"," 8","958.4"," 4","  3.3","23","  1.8","23","  5.8","999.9","  45.7"," ","  39.2","*"," 0.00","I","999.9","000000"
"56294099999","2001-01-12","30.578528","103.947086","495.3","SHUANGLIU, CH","  43.5","22","  31.2","22","1025.7"," 8","964.2"," 4","  4.8","18","  1.4","22","  3.9","999.9","  55.4","*","  32.0","*"," 0.00","I","999.9","000000"
