ID,year,month,mean,lon,lat
1,1990,6,64.72413793,-85.970065,34.289001
1,1990,7,65.96774194,-85.970065,34.289001
1,1990,8,71.96774194,-85.970065,34.289001
1,1991,6,55.67857143,-85.970065,34.289001
1,1991,7,55.16129032,-85.970065,34.289001
1,1991,8,57.32258065,-85.970065,34.289001
1,1992,6,58.93103448,-85.970065,34.289001
1,1992,7,45.80645161,-85.970065,34.289001
1,1992,8,47.74193548,-85.970065,34.289001
1,1993,6,57.5862069,-85.970065,34.289001
1,1993,7,61.73333333,-85.970065,34.289001
1,1993,8,64.5862069,-85.970065,34.289001
1,1994,6,51.46666667,-85.970065,34.289001
1,1994,7,39.96428571,-85.970065,34.289001
1,1994,8,52.2,-85.970065,34.289001
1,1995,6,61.13333333,-85.970065,34.289001
1,1995,7,61.64516129,-85.970065,34.289001
1,1995,8,59.70967742,-85.970065,34.289001
1,1996,6,66.46666667,-85.970065,34.289001
1,1996,7,59,-85.970065,34.289001
1,1996,8,62.26666667,-85.970065,34.289001
1,1997,6,47.4,-85.970065,34.289001
1,1997,7,-9999,-85.970065,34.289001
1,1997,8,-9999,-85.970065,34.289001
1,1998,6,56.9,-85.970065,34.289001
1,1998,7,60.5483871,-85.970065,34.289001
1,1998,8,72.80645161,-85.970065,34.289001
1,1999,6,62.52380952,-85.970065,34.289001
1,1999,7,65.63157895,-85.970065,34.289001
1,1999,8,77.83333333,-85.970065,34.289001
1,2000,6,62.85,-85.970065,34.289001
1,2000,7,67.63333333,-85.970065,34.289001
1,2000,8,68.64516129,-85.970065,34.289001
